Year,CO2 (Nm3/km2),CH4(Nm3/km2),CO2(Nm3/km2),Water(m3/km2)
1,1698890,1031332,0,2111
2,1699535,293378,0,2290
3,1699650,144087,0,2077
4,1699642,362050,0,2258
5,1699647,1278919,0,1905
6,1699650,1753679,0,1424
7,1699636,2069396,0,1050
8,1699635,2208989,5,768
9,1699650,2212463,46,581
10,1699650,2080007,213,465
11,1699652,1908763,624,389
12,1699650,1718695,1371,331
13,1699651,1527981,2465,278
14,1699648,1344834,3817,236
15,1699282,1178983,5283,201
16,1699229,1031963,6689,173
17,1699384,895200,7825,151
18,1699493,770682,8724,139
19,1699599,658584,9707,138
20,1699620,561575,10998,150
21,1699639,487184,14173,180
22,1699648,433521,21386,216
23,1699648,393903,37598,270
24,1699649,357196,70398,321
25,1699648,317356,128281,343
26,1699649,270716,213743,351
27,1699650,215823,318998,356
28,1699650,167662,437690,346
29,1699629,133160,559911,322
30,1699620,108029,673591,313
31,1699624,92336,770953,307
32,1699625,83701,855487,292
33,1699628,77292,929145,270
34,1699630,72014,995602,250
35,1699632,68446,1059082,239
